Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,p63,39,29,116.000000000000000,204.976318359375000,232.400360107421870,27.424041748046875,222.610474685142780,5.666121858606097,6455.703765869140600
,p42,40,36,144.000000000000000,203.687072753906250,207.185928344726560,3.498855590820313,204.976932101779510,0.972563316300371,7379.169555664062500
,p44,41,53,212.000000000000000,202.763122558593750,211.956512451171870,9.193389892578125,207.054652088093320,2.705597947291988,10973.896560668945000
,p22,42,9,36.000000000000000,222.707992553710940,226.640258789062500,3.932266235351563,224.914220174153660,1.323886526541200,2024.227981567382800
,p24,43,38,152.000000000000000,225.622207641601560,234.561798095703120,8.939590454101563,230.735382080078130,2.732364824650933,8767.944519042968700
,p33,44,18,72.000000000000000,206.164154052734380,212.320938110351560,6.156784057617188,208.944411383734800,1.507321697820898,3760.999404907226600
,p39,45,12,48.000000000000000,202.590805053710940,208.109893798828120,5.519088745117188,205.426714579264310,1.759920617758471,2465.120574951171900
,p21,46,24,96.000000000000000,226.464904785156250,235.837539672851560,9.372634887695313,230.489494323730470,2.895016727441059,5531.747863769531200
,qr132,47,15,60.000000000000000,196.868255615234370,202.148056030273440,5.279800415039063,200.076951090494790,1.593469614892103,3001.154266357421900
,qr20,48,40,160.000000000000000,248.350479125976560,252.945510864257810,4.595031738281250,250.595943069458000,1.346608580121234,10023.837722778320000
