FID,subcol,notes,perim,area,pa_ratio,Rowid_,FID_1,GRIDCODE,FREQUENCY,SUM_AREA,SUBCOLID
63,f23, ,37.2798004,44.2521019,0.8424420,28,0,64,4,672.703346252441410,63
64,g32, ,33.4222984,40.4224014,0.8268260,29,0,65,1,6.326889991760254,64
65,f5, ,77.3960037,162.5659943,0.4760890,30,0,66,3,85.530376911163330,65
66,fbeach, ,153.5789948,558.6970215,0.2748880,,,,,,
67,g2, ,61.5405998,96.1765976,0.6398710,31,0,68,2,3119.535003662109400,67
68,d70, ,32.9864998,26.4487000,1.2471800,,,,,,
69,b33, ,36.2706985,42.6749992,0.8499300,,,,,,
70,s2-4, ,387.8120117,521.0910034,0.7442310,32,0,71,1,693.310974121093750,70
71,p6, ,483.9960022,901.0419922,0.5371520,33,0,72,4,346.407202720642090,71
72,l17, ,78.6502991,178.8150024,0.4398410,34,0,73,6,2522.634642601013200,72
73,l23_1, ,11.7477999,5.1995902,2.2593701,,,,,,
74,t5, ,87.1050034,133.5809937,0.6520740,35,0,75,1,108.788002014160160,74
75,m7, ,137.4450073,216.0570068,0.6361500,,,,,,
76,m6, ,48.8428993,51.9385986,0.9403970,,,,,,
77,m31, ,186.3249969,441.7789917,0.4217610,,,,,,
78,m30, ,65.9262009,145.0180054,0.4546080,,,,,,
79,m32, ,121.8669968,252.9179993,0.4818460,36,0,80,1,90.896202087402344,79
80,m37, ,65.9134979,47.3487015,1.3920900,37,0,81,1,4.280519962310791,80
81,g54, ,40.5247993,28.6266003,1.4156300,,,,,,
82,t16,"merged, counted this partial",155.1230011,193.2610016,0.8026630,38,0,83,7,82.959318280220032,82
83,l13,"merged, counted this partial",352.2730103,473.1489868,0.7445280,,,,,,
84,n22,"merged, counted this partial",25.7742996,25.0207996,1.0301100,39,0,85,5,2522.979999542236300,84
85,n12,"merged, counted this partial",46.4869003,65.4536972,0.7102260,,,,,,
86,s38,"merged, counted this partial",78.8219986,113.8320007,0.6924440,40,0,87,1,56.206901550292969,86
87,p40_1,"p40 split, counted this part",56.6507988,70.1613998,0.8074350,41,0,88,3,1497.726974487304700,87
88,c30-31,"merged since photo, counted together",270.5039978,616.6110229,0.4386950,,,,,,
89,l23_2, ,11.2151003,5.2275500,2.1453900,42,0,90,3,6.035478949546814,89
90,s3, ,5.5265999,1.7925900,3.0830300,,,,,,
91,m21-24, ,89.0314026,141.9960022,0.6270000,,,,,,
92,d24_2, ,25.9493008,27.6791000,0.9375050,,,,,,
93,d24_1, ,65.6980972,108.8610001,0.6035060,,,,,,
94,d24, ,91.6474991,136.5399933,0.6712140,43,0,95,10,112821.234171316030000,94
95,p44_1,p44 split in two,47.0688019,54.8367996,0.8583440,,,,,,
96,p44_2,p44 split in two,72.6247025,171.3269958,0.4238960,,,,,,
97,d9, ,10.3744001,4.7600098,2.1794801,,,,,,
98,d11, ,13.6197996,3.8247001,3.5610001,,,,,,
99,c19-1, ,46.7360001,43.6436996,1.0708500,,,,,,
100,n11, ,37.3050995,35.2355003,1.0587400,44,0,101,3,238.984291076660160,100
101,b10, ,93.3350983,172.7610016,0.5402550,,,,,,
102,t7, ,111.8649979,250.1999969,0.4471010,45,0,103,2,146.727294921875000,102
103,t18, ,18.3288994,8.6219501,2.1258500,,,,,,
104,s33, ,116.5650024,202.6569977,0.5751830,,,,,,
105,d48, ,26.8833008,26.1676998,1.0273499,46,0,106,1,80.430801391601562,105
106,d47-48, ,86.9428024,87.2135010,0.9968960,47,0,107,4,12636.974820852280000,106
107,p23, ,32.1341019,18.8120003,1.7081701,,,,,,
108,p22-23, ,63.2476997,59.3602982,1.0654900,,,,,,
109,m19, ,76.6127014,142.5249939,0.5375390,,,,,,
110,m20, ,196.6190033,347.0700073,0.5665110,,,,,,
111,g46, ,20.2334995,11.5945997,1.7450800,,,,,,
112,l19, ,19.8243008,18.3031006,1.0831100,,,,,,
113,c40, ,16.2773991,8.1915903,1.9870900,,,,,,
114,g58, ,11.2159996,4.9848900,2.2500000,,,,,,
