OBJECTID,subcol,id2014,sqm2014,area,perim,pa_ratio,DrainID,BatchDone,Shape_Length,Shape_Area
273, ,280,35.886664517000000,35.8866997,43.9439011,1.2245200,0,-1,43.944037548073403,35.886405068860228
275, ,282,102.276918274000000,102.2770004,58.5317001,0.5722860,0,-1,58.531441376450928,102.276961590907040
276, ,283,1.774197090310000,1.7742000,5.7772999,3.2562799,0,-1,5.777354799478746,1.774183648249155
277, ,284,11.713873115400000,11.7138996,17.4598007,1.4905200,0,-1,17.459816539644358,11.713976196887184
280, ,287,1.010754712190000,1.0107501,4.5668402,4.5182700,0,-1,4.566715730187497,1.010716804013920
281, ,288,25.162110682600002,25.1620998,23.8484993,0.9477940,0,-1,23.848771903860801,25.162146080243996
282, ,289,241.507102656999990,241.5070038,140.0290070,0.5798130,0,-1,140.028822736090690,241.507057253785400
283, ,290,4.168355111570000,4.1683502,8.8778000,2.1298101,0,-1,8.877745428797534,4.168314620272652
284, ,291,11.152343648400000,11.1522999,18.5641994,1.6646100,0,-1,18.564196681660022,11.152166322344403
286, ,293,3.315530825640000,3.3155301,7.3045502,2.2031300,0,-1,7.304515101985794,3.315485815165641
287, ,294,21.065790359699999,21.0657997,28.2350006,1.3403200,0,-1,28.235020833582791,21.065695936771029
288, ,295,92.877229877399998,92.8771973,69.6802979,0.7502410,0,-1,69.680302333037503,92.877584203613907
289, ,296,24.833439018400000,24.8334007,29.0503006,1.1698101,0,-1,29.050390409953369,24.833363920755676
290, ,297,61.717473401100001,61.7174988,41.8105011,0.6774500,0,-1,41.810658290768636,61.717517056859720
291, ,298,3.642928430830000,3.6429300,7.4065199,2.0331199,0,-1,7.406453931476351,3.642836953409663
294, ,301,4.440393074760000,4.4403901,16.3843994,3.6898601,0,-1,16.384338179191548,4.440569327786782
295, ,302,6.061230758060000,6.0612302,12.1522999,2.0049200,0,-1,12.152501046697418,6.061302469610883
296, ,303,2.464162622790000,2.4641600,7.2203398,2.9301400,0,-1,7.220365293131197,2.464166892735840
297, ,304,16.313540675100000,16.3134995,24.4480000,1.4986399,0,-1,24.448064939687704,16.313308745883628
300, ,307,12.152354044799999,12.1524000,15.3570004,1.2637000,0,-1,15.357033897517903,12.152383052762977
301, ,308,8.402738599759999,8.4027395,12.9475002,1.5408700,0,0,12.947605246344608,8.402895480322897
302, ,309,2.134412879850000,2.1344099,5.8028598,2.7187200,0,0,5.802800593955249,2.134384223614329
303, ,310,15.317450007000000,15.3174000,16.1529007,1.0545501,0,0,16.153073415558243,15.317535192589000
304, ,311,13.252224647900000,13.2522001,20.9020996,1.5772600,0,0,20.902039406300393,13.252131721865874
305, ,312,2.762606319710000,2.7626100,7.2452698,2.6226201,0,0,7.245367008252330,2.762552421797240
306, ,313,62.511311723900000,62.5112991,69.7286987,1.1154600,0,0,69.728900412178106,62.510816994538615
307, ,314,20.952382869299999,20.9524002,22.1028996,1.0549099,0,0,22.102908289607488,20.952463527958496
308, ,315,35.686255308200003,35.6862984,40.9070015,1.1462899,0,0,40.906964161287888,35.686118704439195
309, ,316,26.167727043799999,26.1676998,26.8833008,1.0273499,0,0,26.883453257449716,26.167621071515388
310, ,317,26.146375655600000,26.1464005,25.2726994,0.9665840,0,0,25.272751999266166,26.146189259722057
312, ,319,0.753697747868000,0.7536980,3.9900899,5.2940202,0,0,3.990004078978826,0.753663511332085
313, ,320,25.637192835800001,25.6371994,29.2497997,1.1409100,0,0,29.249664517257745,25.637249082263345
314, ,321,8.829654747459999,8.8296499,15.6859999,1.7765100,0,0,15.686145620671178,8.829673409304675
315, ,322,10.669824203899999,10.6697998,17.8278008,1.6708699,0,0,17.827724598730576,10.669658058737785
316, ,323,4.392553590810000,4.3925500,11.6548004,2.6533101,0,0,11.654592567768876,4.392512026878499
317, ,324,8.848808004070000,8.8488102,17.9116001,2.0241799,0,0,17.911388228440043,8.848804384968167
318, ,325,12.914340335000000,12.9143000,21.1940994,1.6411300,0,0,21.193948886665474,12.914415697749874
319, ,326,71.052239438100003,71.0522003,49.2500000,0.6931520,0,0,49.249944776114994,71.052359820686448
320, ,327,2.687603945540000,2.6875999,6.8003101,2.5302501,0,0,6.800369845238595,2.687543801890229
321, ,328,108.347900933999990,108.3479996,63.5583000,0.5866130,0,0,63.558420339918150,108.347944045040580
322, ,329,36.512904558899997,36.5129013,27.0251007,0.7401520,0,0,27.025015535944945,36.512553065715373
323, ,330,10.875003855999999,10.8750000,17.8258991,1.6391600,0,0,17.825792879830434,10.875119777898689
324, ,331,9.216248279449999,9.2162504,13.3599005,1.4496000,0,0,13.360012525659570,9.216332044921286
325, ,332,91.243126070000002,91.2431030,61.9053993,0.6784670,0,0,61.905848157995329,91.242605479004126
326, ,333,26.066080329700000,26.0660992,30.6865997,1.1772600,0,0,30.686602373671764,26.066166612593115
327, ,334,233.797006614000000,233.7969971,125.6259995,0.5373290,0,0,125.625543989216790,233.797528712860040
328, ,335,124.932821574000000,124.9329987,72.8048019,0.5827510,0,0,72.805070594669786,124.932495210524220
