"subcol","active_ct","ch_ct","col","prod","area_name","season","FID","area","perimeter","pa_ratio","flood_risk","flow_acc","flow_acc_log1p","flow_acc_log","mean_aspect","mean_slope","mean_elev","adjust_mean_elev","mean_windshelt100m","mean_windshelt300m","skua50"
"3c",11,4,"royds",0.363636363636364,NA,"1617",4,8.7243099,19.9034996,2.28138375282,NA,0,0,-Inf,204.278495788574,18.8792457580566,-45.64990234375,0.35009765625,-0.005200000130571,0.0021499999566,0
"3c",15,11,"royds",0.733333333333333,NA,"1718",4,8.7243099,19.9034996,2.28138375282,NA,0,0,-Inf,204.278495788574,18.8792457580566,-45.64990234375,0.35009765625,-0.005200000130571,0.0021499999566,0
"4",22,6,"royds",0.272727272727273,NA,"1415",5,12.7202997,16.2056007,1.27399516106,NA,0,0,-Inf,263.47973382473,11.1559710502625,-42.71044921875,3.28955078125,0.168524995446205,0.168524995446205,1
"4",15,8,"royds",0.533333333333333,NA,"1516",5,12.7202997,16.2056007,1.27399516106,NA,0,0,-Inf,263.47973382473,11.1559710502625,-42.71044921875,3.28955078125,0.168524995446205,0.168524995446205,1
"4",9,0,"royds",0,NA,"1617",5,12.7202997,16.2056007,1.27399516106,NA,0,0,-Inf,263.47973382473,11.1559710502625,-42.71044921875,3.28955078125,0.168524995446205,0.168524995446205,1
"4",8,0,"royds",0,NA,"1718",5,12.7202997,16.2056007,1.27399516106,NA,0,0,-Inf,263.47973382473,11.1559710502625,-42.71044921875,3.28955078125,0.168524995446205,0.168524995446205,1
"5",52,46,"royds",0.884615384615385,NA,"1415",7,37.7114983,45.145401,1.19712567329,NA,0,0,-Inf,266.939338684082,11.5628106594086,-40.7703125,5.2296875,0.020220000296831,0.028010000195354,1
"5",61,41,"royds",0.672131147540984,NA,"1516",7,37.7114983,45.145401,1.19712567329,NA,0,0,-Inf,266.939338684082,11.5628106594086,-40.7703125,5.2296875,0.020220000296831,0.028010000195354,1
"5",53,3,"royds",0.0566037735849057,NA,"1617",7,37.7114983,45.145401,1.19712567329,NA,0,0,-Inf,266.939338684082,11.5628106594086,-40.7703125,5.2296875,0.020220000296831,0.028010000195354,1
"5",37,21,"royds",0.567567567567568,NA,"1718",7,37.7114983,45.145401,1.19712567329,NA,0,0,-Inf,266.939338684082,11.5628106594086,-40.7703125,5.2296875,0.020220000296831,0.028010000195354,1
"6",156,205,"royds",1.31410256410256,NA,"1415",8,113.8300018,117.1920013,1.02953529358,NA,0,0,-Inf,301.562654767718,8.29858730520521,-37.3643624441964,8.63563755580357,0.048835714414184,0.048835714414184,1
"6",171,184,"royds",1.07602339181287,NA,"1516",8,113.8300018,117.1920013,1.02953529358,NA,0,0,-Inf,301.562654767718,8.29858730520521,-37.3643624441964,8.63563755580357,0.048835714414184,0.048835714414184,1
"6",144,81,"royds",0.5625,NA,"1617",8,113.8300018,117.1920013,1.02953529358,NA,0,0,-Inf,301.562654767718,8.29858730520521,-37.3643624441964,8.63563755580357,0.048835714414184,0.048835714414184,1
"6",172,162,"royds",0.941860465116279,NA,"1718",8,113.8300018,117.1920013,1.02953529358,NA,0,0,-Inf,301.562654767718,8.29858730520521,-37.3643624441964,8.63563755580357,0.048835714414184,0.048835714414184,1
"9n",73,78,"royds",1.06849315068493,NA,"1415",12,49.8886986,41.5251007,0.832354843616,NA,0,0,-Inf,68.4272546034593,11.0207406557523,-36.8465294471154,9.15347055288461,0.191161538545902,0.191161538545902,1
"9n",60,80,"royds",1.33333333333333,NA,"1516",12,49.8886986,41.5251007,0.832354843616,NA,0,0,-Inf,68.4272546034593,11.0207406557523,-36.8465294471154,9.15347055288461,0.191161538545902,0.191161538545902,1
"9n",75,32,"royds",0.426666666666667,NA,"1617",12,49.8886986,41.5251007,0.832354843616,NA,0,0,-Inf,68.4272546034593,11.0207406557523,-36.8465294471154,9.15347055288461,0.191161538545902,0.191161538545902,1
"9n",88,91,"royds",1.03409090909091,NA,"1718",12,49.8886986,41.5251007,0.832354843616,NA,0,0,-Inf,68.4272546034593,11.0207406557523,-36.8465294471154,9.15347055288461,0.191161538545902,0.191161538545902,1
"9s",53,69,"royds",1.30188679245283,NA,"1415",11,28.6940994,36.7136002,1.27948260307,NA,0,0,-Inf,116.882019678752,4.22990769147873,-34.82421875,11.17578125,0.07828333415091,0.07828333415091,1
"9s",93,57,"royds",0.612903225806452,NA,"1516",11,28.6940994,36.7136002,1.27948260307,NA,0,0,-Inf,116.882019678752,4.22990769147873,-34.82421875,11.17578125,0.07828333415091,0.07828333415091,1
"9s",53,33,"royds",0.622641509433962,NA,"1617",11,28.6940994,36.7136002,1.27948260307,NA,0,0,-Inf,116.882019678752,4.22990769147873,-34.82421875,11.17578125,0.07828333415091,0.07828333415091,1
"9s",57,60,"royds",1.05263157894737,NA,"1718",11,28.6940994,36.7136002,1.27948260307,NA,0,0,-Inf,116.882019678752,4.22990769147873,-34.82421875,11.17578125,0.07828333415091,0.07828333415091,1
"wb2",40,49,"royds",1.225,NA,"1415",17,26.3882008,24.5359001,0.929805696011,NA,0,0,-Inf,27.1760285695394,6.74554944038391,-40.62548828125,5.37451171875,0.282500003774961,0.282500003774961,1
"wb2",44,52,"royds",1.18181818181818,NA,"1516",17,26.3882008,24.5359001,0.929805696011,NA,0,0,-Inf,27.1760285695394,6.74554944038391,-40.62548828125,5.37451171875,0.282500003774961,0.282500003774961,1
"wb2",37,12,"royds",0.324324324324324,NA,"1617",17,26.3882008,24.5359001,0.929805696011,NA,0,0,-Inf,27.1760285695394,6.74554944038391,-40.62548828125,5.37451171875,0.282500003774961,0.282500003774961,1
"wb2",50,42,"royds",0.84,NA,"1718",17,26.3882008,24.5359001,0.929805696011,NA,0,0,-Inf,27.1760285695394,6.74554944038391,-40.62548828125,5.37451171875,0.282500003774961,0.282500003774961,1
