Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN,MEAN_ASPECT
,fbeach,68,136,544.000000000000000,0.167732607723926,14.962142334942087
,g2,69,23,92.000000000000000,0.096891018683496,5.568406635368774
,d70,70,5,20.000000000000000,0.568132042884827,34.643855206049523
,b33,71,9,36.000000000000000,0.429819789197710,25.490327284954560
,s2-4,72,130,520.000000000000000,0.943193149108153,107.706616787985695
,p6,73,223,892.000000000000000,0.828819462269411,56.186802619685920
,l17,74,45,180.000000000000000,0.234372134382526,13.657299707957009
,l23_1,75,1,4.000000000000000,0.566415429115295,34.500639235108622
,t5,76,32,128.000000000000000,0.950118074193597,73.183710251777939
,m7,77,56,224.000000000000000,0.787447406777314,52.737819767609096
,m6,78,11,44.000000000000000,0.940475555983457,70.163192126700153
,m31,79,106,424.000000000000000,0.838514012548159,62.793448831784758
,m30,80,38,152.000000000000000,0.785312527104428,51.811476793774773
,m32,81,59,236.000000000000000,0.789048633332980,52.292358012072611
,m37,82,13,52.000000000000000,0.919143332884862,68.159953361548389
,g54,83,6,24.000000000000000,0.745123902956645,48.207849962441912
,t16,84,48,192.000000000000000,0.934747811406851,110.509016318118483
,l13,85,119,476.000000000000000,0.213473151884034,12.607652312499170
,n22,86,7,28.000000000000000,0.931144271578108,68.662220949483924
,n12,87,15,60.000000000000000,0.667721211910248,41.896726895302550
,s38,88,27,108.000000000000000,0.965064428470753,75.448704771545749
,p40_1,89,19,76.000000000000000,0.599427151052575,36.840365675125383
,c30-31,90,144,576.000000000000000,0.942984851387640,88.719989161706280
,l23_2,91,1,4.000000000000000,0.595445990562439,36.544432598070784
,s3,92,1,4.000000000000000,0.910334825515747,114.448336898484968
,d24_2,93,5,20.000000000000000,0.422761642932892,25.053371372563277
,d24_1,94,25,100.000000000000000,0.720147426128387,47.008913871262394
,c19-1,95,9,36.000000000000000,0.903370009528266,64.666702311388974
,n11,96,8,32.000000000000000,0.672293558716774,42.302427772890496
,b10,97,40,160.000000000000000,0.683616385422647,49.372159143017655
,t7,98,64,256.000000000000000,0.987937538884580,96.696073814541762
,t18,99,2,8.000000000000000,0.896861374378204,65.289453271077093
,s33,100,50,200.000000000000000,0.968495194911957,102.411848664806712
,d48,101,6,24.000000000000000,0.685804128646851,43.749132597547430
,p23,102,3,12.000000000000000,0.866493205229441,60.096280563577238
,m19,103,36,144.000000000000000,0.907440683907933,65.440022901293048
,m20,104,84,336.000000000000000,0.916032996915636,67.262687430105927
,g46,105,3,12.000000000000000,0.460923035939534,27.446773742497840
,l19,106,4,16.000000000000000,0.144431771710515,8.306398121301299
,c40,107,2,8.000000000000000,0.935737133026123,69.349216050381415
