"","Bandnumb","Season","Breeder","BQI_A","diff_success","Orig_col","Season_yr","ORIG_COL","LAT","LON"
"26",21481,"0506",1,0.068625691,-0.375211458,"CROZ",2005,"CROZ",-77.451253,169.230689
"27",21485,"1112",1,0.005584425,0.316466195,"CROZ",2011,"CROZ",-77.452421,169.234142
"28",21495,"0405",1,0.105935666,0.825970436,"CROZ",2004,"CROZ",-77.452916,169.234246
"29",31840,"1213",1,0.90896623,0.90896623,"CROZ",2012,"CROZ",-77.452312,169.233232
"30",31941,"1213",1,0.41873773,0.90896623,"CROZ",2012,"CROZ",-77.451297,169.225652
"31",31965,"1314",1,-0.093906704,-0.096779637,"CROZ",2013,"CROZ",-77.455234,169.236775
"32",31979,"1314",1,0.246898608,0.903220363,"CROZ",2013,"CROZ",-77.452823,169.233111
"33",32026,"1314",1,0.246898608,0.903220363,"CROZ",2013,"CROZ",-77.453497,169.228854
"34",32032,"1314",1,-0.093906704,-0.096779637,"CROZ",2013,"CROZ",-77.451589,169.23128
"35",32104,"1314",1,-0.086434726,-0.096779637,"CROZ",2013,"CROZ",-77.452244,169.233267
"36",32124,"1213",1,0.41873773,0.90896623,"CROZ",2012,"CROZ",-77.451853,169.23196
"37",32144,"1213",1,0.41873773,0.90896623,"CROZ",2012,"CROZ",-77.453282,169.239421
"38",32171,"1314",1,-0.086434726,-0.096779637,"CROZ",2013,"CROZ",-77.453582,169.237646
"39",32217,"1314",1,-0.119394519,-0.195659018,"CROZ",2013,"CROZ",-77.452398,169.233695
"40",32221,"1314",1,-0.093906704,-0.096779637,"CROZ",2013,"CROZ",-77.452227,169.23269
"41",32231,"1314",1,-0.086434726,-0.096779637,"CROZ",2013,"CROZ",-77.452102,169.232214
"42",32248,"1314",1,-0.093906704,-0.096779637,"CROZ",2013,"CROZ",-77.452318,169.235588
"43",32273,"1213",1,-0.08126227,-0.09103377,"CROZ",2012,"CROZ",-77.451961,169.232291
"44",32285,"1213",1,-0.08126227,-0.09103377,"CROZ",2012,"CROZ",-77.452498,169.234982
"45",32355,"1314",1,-0.093906704,-0.096779637,"CROZ",2013,"CROZ",-77.452367,169.234853
"46",32377,"1213",1,-0.08126227,-0.09103377,"CROZ",2012,"CROZ",-77.454204,169.241083
"47",32378,"1112",1,-0.071490769,-0.071490769,"CROZ",2011,"CROZ",-77.45213,169.233638
"48",32394,"1314",1,-0.093906704,-0.096779637,"CROZ",2013,"CROZ",-77.451993,169.232285
"49",32426,"1314",1,0.246898608,0.903220363,"CROZ",2013,"CROZ",-77.452308,169.234966
"50",32429,"1314",1,0.213938814,0.804340982,"CROZ",2013,"CROZ",-77.453671,169.229251
"51",32458,"1314",1,0.213938814,0.804340982,"CROZ",2013,"CROZ",-77.451726,169.224957
"52",32462,"1314",1,0.406093296,0.903220363,"CROZ",2013,"CROZ",-77.452237,169.230659
"53",32480,"1314",1,-0.086434726,-0.096779637,"CROZ",2013,"CROZ",-77.450032,169.228999
"54",32541,"1314",1,0.406093296,0.903220363,"CROZ",2013,"CROZ",-77.456713,169.241677
"55",32565,"1314",1,0.213938814,-0.195659018,"CROZ",2013,"CROZ",-77.452231,169.23357
"56",40070,"0203",1,-0.204884044,-0.375211458,"CROZ",2002,"CROZ",-77.45336,169.23719
"57",40087,"0506",1,-0.093292491,0.477768681,"CROZ",2005,"CROZ",-77.453547,169.23522
"58",40094,"0506",1,-0.279124172,-0.522231319,"CROZ",2005,"CROZ",-77.454577,169.230602
"59",40204,"1011",1,-0.053081282,0.242020049,"CROZ",2010,"CROZ",-77.453007,169.236248
"60",40206,"0506",1,0.222024202,0.513441652,"CROZ",2005,"CROZ",-77.454579,169.230824
"61",40208,"1011",1,0.091363225,0.242020049,"CROZ",2010,"CROZ",-77.453617,169.235988
"62",40211,"1011",1,0.130717429,0.242020049,"CROZ",2010,"CROZ",-77.456367,169.222133
"63",40214,"0203",1,-0.165316779,-0.273636715,"CROZ",2002,"CROZ",-77.44895,169.22213
"64",40218,"0203",1,-0.091685046,-0.142322931,"CROZ",2002,"CROZ",-77.45308,169.23731
"65",40225,"1314",1,-0.072302593,0.306203928,"CROZ",2013,"CROZ",-77.452418,169.234392
"66",40246,"0405",1,0.045086362,0.566708765,"CROZ",2004,"CROZ",-77.454949,169.231891
"67",40282,"0203",1,0.158314954,0.857677069,"CROZ",2002,"CROZ",-77.45255,169.2357
"68",40305,"0203",1,0.158314954,0.857677069,"CROZ",2002,"CROZ",-77.45345,169.23676
"69",40309,"1213",1,-0.243610765,0.278251786,"CROZ",2012,"CROZ",-77.454537,169.238005
"70",40310,"0708",1,0.033244328,0.234711502,"CROZ",2007,"CROZ",-77.454799,169.231612
"71",40322,"0506",1,-0.052710006,0.513441652,"CROZ",2005,"CROZ",-77.453526,169.237036
"72",40355,"1314",1,-0.087673509,0.306203928,"CROZ",2013,"CROZ",-77.453181,169.239103
"73",40360,"1112",1,-0.068725618,0.294490293,"CROZ",2011,"CROZ",-77.453214,169.237624
"74",40379,"0203",1,-0.091685046,-0.142322931,"CROZ",2002,"CROZ",-77.45308,169.23788
"75",40393,"0203",1,0.234916861,0.857677069,"CROZ",2002,"CROZ",-77.4534,169.22839
"76",40414,"0607",1,-0.253767754,-0.65676945,"CROZ",2006,"CROZ",-77.453501,169.237658
"77",40416,"0203",1,0.158314954,0.857677069,"CROZ",2002,"CROZ",-77.45328,169.23658
"78",40429,"0506",1,-0.055353332,-0.486558348,"CROZ",2005,"CROZ",-77.45631,169.23744
"79",40432,"0506",1,0.013768795,-0.426714753,"CROZ",2005,"CROZ",-77.451903,169.229416
"80",40438,"0607",1,0.112909077,0.291023422,"CROZ",2006,"CROZ",-77.453072,169.237652
"81",40445,"0405",1,-0.128329585,-0.209191853,"CROZ",2004,"CROZ",-77.453849,169.236987
"82",40454,"0405",1,0.006787961,0.566708765,"CROZ",2004,"CROZ",-77.454477,169.237829
"83",40482,"0203",1,-0.098416472,-0.142322931,"CROZ",2002,"CROZ",-77.45055,169.22856
"84",40512,"0708",1,0.042039208,0.234711502,"CROZ",2007,"CROZ",-77.457068,169.242153
"85",40516,"0506",1,0.075494062,0.753087563,"CROZ",2005,"CROZ",-77.457132,169.251231
"86",40525,"0405",1,0.251609671,0.624788542,"CROZ",2004,"CROZ",-77.453216,169.237078
"87",40549,"0405",1,0.134046769,0.624788542,"CROZ",2004,"CROZ",-77.45364,169.237813
"88",40550,"0506",1,-0.053270649,-0.486558348,"CROZ",2005,"CROZ",-77.453302,169.23673
"89",40584,"0506",1,0.064180493,0.513441652,"CROZ",2005,"CROZ",-77.45365,169.23719
"90",40603,"0203",1,-0.098416472,-0.142322931,"CROZ",2002,"CROZ",-77.45319,169.23687
"91",40606,"0203",1,-0.105224923,-0.142322931,"CROZ",2002,"CROZ",-77.45346,169.2374
"92",40607,"0203",1,-0.098416472,-0.142322931,"CROZ",2002,"CROZ",-77.45427,169.23812
"93",40626,"0304",1,0.2948038,0.840759184,"CROZ",2003,"CROZ",-77.454713,169.232706
"94",40653,"0607",1,0.139251912,0.291023422,"CROZ",2006,"CROZ",-77.453528,169.237105
"95",40672,"0910",1,0.14806859,0.361987334,"CROZ",2009,"CROZ",-77.454128,169.234253
"96",40685,"0203",1,-0.113561251,-0.142322931,"CROZ",2002,"CROZ",-77.45579,169.24775
"97",40689,"1011",1,-0.079880484,0.242020049,"CROZ",2010,"CROZ",-77.453387,169.237467
"98",40699,"0203",1,-0.099537757,-0.142322931,"CROZ",2002,"CROZ",-77.45783,169.25566
"99",40712,"0203",1,0.234916861,0.857677069,"CROZ",2002,"CROZ",-77.45088,169.2249
"100",40741,"0203",1,0.234916861,0.857677069,"CROZ",2002,"CROZ",-77.45241,169.2363
"101",40747,"0405",1,0.18313459,0.624788542,"CROZ",2004,"CROZ",-77.452503,169.234949
"102",40760,"0809",1,-0.124118813,-0.705476399,"CROZ",2008,"CROZ",-77.452948,169.238495
"103",40765,"0203",1,-0.091685046,-0.142322931,"CROZ",2002,"CROZ",-77.45166,169.23158
"104",40778,"0304",1,-0.088748834,-0.077003985,"CROZ",2003,"CROZ",-77.45308,169.23597
"105",40780,"0506",1,0.079193302,0.753087563,"CROZ",2005,"CROZ",-77.455118,169.233418
"106",40818,"0405",1,0.08637271,0.790808147,"CROZ",2004,"CROZ",-77.452632,169.235646
"107",40830,"0708",1,0.191360465,0.234711502,"CROZ",2007,"CROZ",-77.452959,169.233683
"108",40836,"1011",1,-0.093778186,0.242020049,"CROZ",2010,"CROZ",-77.452512,169.234667
"109",40858,"0405",1,0.18313459,0.624788542,"CROZ",2004,"CROZ",-77.452723,169.233393
"110",40865,"1011",1,-0.225961861,-0.757979951,"CROZ",2010,"CROZ",-77.452687,169.234718
"111",40887,"0607",1,-0.094989923,0.34323055,"CROZ",2006,"CROZ",-77.451602,169.227535
"112",40916,"0506",1,0.222024202,0.513441652,"CROZ",2005,"CROZ",-77.452873,169.236201
"113",40944,"1011",1,0.182580934,0.242020049,"CROZ",2010,"CROZ",-77.45334,169.229795
"114",40949,"0506",1,-0.005313282,0.573285247,"CROZ",2005,"CROZ",-77.45249,169.23392
"115",40957,"0203",1,-0.105224923,-0.142322931,"CROZ",2002,"CROZ",-77.45252,169.23412
"116",40963,"0203",1,0.158314954,0.857677069,"CROZ",2002,"CROZ",-77.45164,169.23164
"117",40997,"0203",1,0.234916861,0.857677069,"CROZ",2002,"CROZ",-77.45272,169.23432
"118",41005,"0809",1,0.151474455,0.294523601,"CROZ",2008,"CROZ",-77.452422,169.234005
"119",41006,"0203",1,0.158314954,0.857677069,"CROZ",2002,"CROZ",-77.45205,169.23216
"120",41025,"0405",1,-0.108822671,-0.209191853,"CROZ",2004,"CROZ",-77.452739,169.233522
"121",41037,"0506",1,0.123260838,0.573285247,"CROZ",2005,"CROZ",-77.452656,169.234223
"122",41042,"0203",1,-0.091685046,-0.142322931,"CROZ",2002,"CROZ",-77.45269,169.23356
"123",41044,"1011",1,0.244761398,0.242020049,"CROZ",2010,"CROZ",-77.45356,169.221005
"124",41051,"0405",1,0.022443706,-0.433291235,"CROZ",2004,"CROZ",-77.453249,169.23025
"125",41060,"1011",1,0.10090033,0.242020049,"CROZ",2010,"CROZ",-77.452569,169.234462
"126",41080,"0405",1,0.057843996,0.790808147,"CROZ",2004,"CROZ",-77.452074,169.22996
"127",41107,"0203",1,0.158314954,0.857677069,"CROZ",2002,"CROZ",-77.45242,169.23631
"128",41132,"1011",1,-0.143990373,0.242020049,"CROZ",2010,"CROZ",-77.451613,169.22049
"129",41138,"0708",1,-0.061546206,-0.765288498,"CROZ",2007,"CROZ",-77.453082,169.234278
"130",41155,"0405",1,0.097877381,0.790808147,"CROZ",2004,"CROZ",-77.450711,169.223228
"131",41192,"1011",1,-0.054615406,0.242020049,"CROZ",2010,"CROZ",-77.452574,169.235574
"132",41209,"0405",1,-0.137600683,-0.323561202,"CROZ",2004,"CROZ",-77.453093,169.235142
"133",41218,"0506",1,0.13729622,0.566708765,"CROZ",2005,"CROZ",-77.45258,169.23151
"134",41220,"0405",1,-0.094064334,-0.174029564,"CROZ",2004,"CROZ",-77.452728,169.232385
"135",41230,"1011",1,0.182326265,-0.734093467,"CROZ",2010,"CROZ",-77.451378,169.217875
"136",41253,"0304",1,-0.076598366,-0.061655022,"CROZ",2003,"CROZ",-77.457932,169.253252
"137",41254,"1213",1,0.083518606,-0.705509707,"CROZ",2012,"CROZ",-77.453056,169.23501
"138",41268,"0506",1,-0.191610708,-0.209191853,"CROZ",2005,"CROZ",-77.45303,169.23273
"139",41283,"0405",1,0.062399317,-0.323561202,"CROZ",2004,"CROZ",-77.454847,169.232358
"140",41288,"1011",1,-0.120669186,0.315613724,"CROZ",2010,"CROZ",-77.453067,169.216182
"141",41297,"0405",1,0.262399317,0.676438798,"CROZ",2004,"CROZ",-77.452605,169.237288
"142",41311,"0203",1,-0.078212361,-0.114601191,"CROZ",2002,"CROZ",-77.45263,169.23215
"143",41312,"0910",1,-0.079112115,-0.603407454,"CROZ",2009,"CROZ",-77.452845,169.23258
"144",41314,"0506",1,-0.140922188,-0.375211458,"CROZ",2005,"CROZ",-77.452912,169.23409
"145",41321,"0405",1,0.105935666,0.825970436,"CROZ",2004,"CROZ",-77.452852,169.230335
"146",41336,"1314",1,-0.094971942,0.317735102,"CROZ",2013,"CROZ",-77.452872,169.226296
"147",41339,"1213",1,-0.065859873,0.294490293,"CROZ",2012,"CROZ",-77.45291,169.233291
"148",41345,"0506",1,-0.140922188,-0.375211458,"CROZ",2005,"CROZ",-77.452973,169.232565
"149",41363,"0607",1,-0.021751864,0.389656004,"CROZ",2006,"CROZ",-77.452809,169.223855
"150",41370,"0405",1,-0.113784224,-0.174029564,"CROZ",2004,"CROZ",-77.451752,169.219413
"151",41375,"0203",1,-0.078212361,-0.114601191,"CROZ",2002,"CROZ",-77.4531,169.23265
"152",41381,"1314",1,-0.067142617,0.317735102,"CROZ",2013,"CROZ",-77.452142,169.227651
"153",41385,"0910",1,0.048464037,0.396592546,"CROZ",2009,"CROZ",-77.453132,169.235851
"154",41386,"0506",1,-0.155807224,-0.375211458,"CROZ",2005,"CROZ",-77.453307,169.215062
"155",41396,"0203",1,-0.084070037,-0.114601191,"CROZ",2002,"CROZ",-77.45304,169.23426
"156",41397,"0910",1,0.044084862,0.396592546,"CROZ",2009,"CROZ",-77.45303,169.233661
"157",41402,"0607",1,-0.041408217,-0.610343996,"CROZ",2006,"CROZ",-77.453045,169.235764
"158",41404,"0607",1,0.006450472,0.591729988,"CROZ",2006,"CROZ",-77.453104,169.23305
"159",41406,"0910",1,0.148464037,0.396592546,"CROZ",2009,"CROZ",-77.452979,169.235007
"160",41408,"0405",1,-0.094064334,-0.174029564,"CROZ",2004,"CROZ",-77.452991,169.233978
"161",41415,"0405",1,-0.094064334,-0.174029564,"CROZ",2004,"CROZ",-77.452975,169.234015
"162",41426,"1011",1,0.088385843,-0.734093467,"CROZ",2010,"CROZ",-77.453123,169.234465
"163",41444,"0304",1,-0.074073027,-0.061655022,"CROZ",2003,"CROZ",-77.453018,169.235131
"164",41447,"0203",1,0.255120972,0.885398809,"CROZ",2002,"CROZ",-77.45315,169.23474
"165",41451,"0910",1,0.020887885,0.396592546,"CROZ",2009,"CROZ",-77.45316,169.234485
"166",41458,"0405",1,-0.114056546,-0.174029564,"CROZ",2004,"CROZ",-77.452986,169.235147
"167",41459,"0506",1,-0.021945133,0.566708765,"CROZ",2005,"CROZ",-77.452278,169.231403
"168",41461,"0809",1,-0.014969668,0.385646592,"CROZ",2008,"CROZ",-77.453098,169.233704
"169",41465,"0809",1,0.127080621,0.330231759,"CROZ",2008,"CROZ",-77.453147,169.233211
"170",41481,"0809",1,0.133188886,0.330231759,"CROZ",2008,"CROZ",-77.453072,169.237196
"171",41485,"0405",1,-0.094064334,-0.174029564,"CROZ",2004,"CROZ",-77.454327,169.240919
"172",41490,"1011",1,0.34313255,0.265906533,"CROZ",2010,"CROZ",-77.457777,169.228897
"173",41520,"0506",1,0.025744479,-0.375211458,"CROZ",2005,"CROZ",-77.451403,169.230787
"174",41522,"0809",1,0.075124391,0.330231759,"CROZ",2008,"CROZ",-77.452771,169.234863
"175",41536,"0203",1,-0.0905491,-0.114601191,"CROZ",2002,"CROZ",-77.45396,169.23649
"176",41543,"1314",1,-0.114037359,-0.682264898,"CROZ",2013,"CROZ",-77.452649,169.235422
"177",41547,"0506",1,-0.221280737,-0.375211458,"CROZ",2005,"CROZ",-77.456693,169.248156
"178",41548,"0405",1,0.105935666,0.825970436,"CROZ",2004,"CROZ",-77.453002,169.23467
"179",41560,"0203",1,0.255120972,0.885398809,"CROZ",2002,"CROZ",-77.45284,169.23809
"180",41567,"0203",1,-0.078212361,-0.114601191,"CROZ",2002,"CROZ",-77.45278,169.23606
"181",41578,"0607",1,-0.109585213,0.333978242,"CROZ",2006,"CROZ",-77.453034,169.234664
"182",41595,"1314",1,-0.183393801,-0.682264898,"CROZ",2013,"CROZ",-77.453057,169.233265
"183",41596,"0203",1,-0.084070037,-0.114601191,"CROZ",2002,"CROZ",-77.45212,169.22921
"184",41605,"0506",1,-0.020215775,-0.433291235,"CROZ",2005,"CROZ",-77.452612,169.234593
"185",41612,"0506",1,0.074805072,0.790808147,"CROZ",2005,"CROZ",-77.452278,169.226913
"186",41617,"1213",1,0.170151673,0.294490293,"CROZ",2012,"CROZ",-77.452868,169.234126
"187",41620,"0506",1,0.308389292,0.790808147,"CROZ",2005,"CROZ",-77.458146,169.252818
"188",41622,"1011",1,0.159140628,0.265906533,"CROZ",2010,"CROZ",-77.45311,169.233082
"189",41628,"0203",1,-0.078212361,-0.114601191,"CROZ",2002,"CROZ",-77.4529,169.23341
"190",41642,"0910",1,0.154527119,0.396592546,"CROZ",2009,"CROZ",-77.451618,169.221748
"191",41646,"0304",1,0.158889447,-0.129805127,"CROZ",2003,"CROZ",-77.45284,169.23429
"192",41650,"0203",1,-0.0905491,-0.114601191,"CROZ",2002,"CROZ",-77.45132,169.22483
"193",41673,"0203",1,0.415929963,0.885398809,"CROZ",2002,"CROZ",-77.4524,169.22634
"194",41677,"0405",1,-0.098021819,-0.174029564,"CROZ",2004,"CROZ",-77.451328,169.231204
"195",41678,"0708",1,0.185256818,0.269370953,"CROZ",2007,"CROZ",-77.45305,169.231741
"196",41679,"1011",1,-0.018295609,0.265906533,"CROZ",2010,"CROZ",-77.452778,169.232464
"197",41695,"0203",1,-0.078212361,-0.114601191,"CROZ",2002,"CROZ",-77.45289,169.23157
"198",41718,"0405",1,-0.094064334,-0.174029564,"CROZ",2004,"CROZ",-77.453243,169.230078
"199",41719,"0708",1,0.094727008,0.269370953,"CROZ",2007,"CROZ",-77.452728,169.231693
"200",41724,"0506",1,0.124185672,0.790808147,"CROZ",2005,"CROZ",-77.456226,169.225774
"201",41726,"0607",1,-0.112473772,-0.666021758,"CROZ",2006,"CROZ",-77.452975,169.233565
"202",41732,"0203",1,-0.078212361,-0.114601191,"CROZ",2002,"CROZ",-77.45275,169.23296
"203",41740,"1314",1,-0.20036451,0.317735102,"CROZ",2013,"CROZ",-77.456006,169.226838
"204",41752,"0405",1,-0.118375921,-0.174029564,"CROZ",2004,"CROZ",-77.45555,169.219054
"205",41765,"1011",1,-0.193850595,-0.734093467,"CROZ",2010,"CROZ",-77.453895,169.239447
"206",41766,"0203",1,-0.0905491,-0.114601191,"CROZ",2002,"CROZ",-77.45247,169.22764
"207",41772,"0405",1,0.262399317,0.676438798,"CROZ",2004,"CROZ",-77.453147,169.23025
"208",41773,"0405",1,-0.116761925,-0.174029564,"CROZ",2004,"CROZ",-77.453066,169.230663
"209",41775,"0203",1,-0.078212361,-0.114601191,"CROZ",2002,"CROZ",-77.45192,169.23282
"210",41782,"0203",1,0.255120972,0.885398809,"CROZ",2002,"CROZ",-77.45507,169.2324
"211",41783,"0304",1,-0.074073027,-0.061655022,"CROZ",2003,"CROZ",-77.451682,169.224633
"212",41784,"0506",1,0.110130593,0.790808147,"CROZ",2005,"CROZ",-77.453077,169.232127
"213",41801,"0405",1,-0.148586288,-0.378489231,"CROZ",2004,"CROZ",-77.452948,169.233103
"214",41802,"0203",1,-0.084070037,-0.114601191,"CROZ",2002,"CROZ",-77.45247,169.23552
"215",41803,"0506",1,-0.008857424,0.566708765,"CROZ",2005,"CROZ",-77.451033,169.228265
"216",41808,"0203",1,-0.078212361,-0.114601191,"CROZ",2002,"CROZ",-77.45292,169.23433
"217",41812,"0506",1,0.068625691,0.624788542,"CROZ",2005,"CROZ",-77.453079,169.233693
"218",41822,"0203",1,0.415929963,0.885398809,"CROZ",2002,"CROZ",-77.4486,169.22045
"219",41833,"0203",1,0.255120972,0.885398809,"CROZ",2002,"CROZ",-77.45298,169.23078
"220",41838,"0405",1,0.214957412,0.825970436,"CROZ",2004,"CROZ",-77.458071,169.249744
"221",41845,"0203",1,-0.078212361,-0.114601191,"CROZ",2002,"CROZ",-77.45304,169.23595
"222",41846,"0405",1,-0.104195697,-0.174029564,"CROZ",2004,"CROZ",-77.45319,169.23195
"223",41852,"0405",1,0.062399317,-0.323561202,"CROZ",2004,"CROZ",-77.453131,169.232642
"224",41853,"0304",1,0.256734968,0.938344978,"CROZ",2003,"CROZ",-77.45289,169.23354
"225",41854,"1213",1,0.233139526,0.294490293,"CROZ",2012,"CROZ",-77.453087,169.23315
"226",41856,"0203",1,-0.078212361,-0.114601191,"CROZ",2002,"CROZ",-77.45305,169.23203
"227",41861,"0203",1,0.255120972,0.885398809,"CROZ",2002,"CROZ",-77.45281,169.23322
"228",41862,"0405",1,0.062399317,0.676438798,"CROZ",2004,"CROZ",-77.453367,169.230142
"229",41865,"0506",1,0.053414413,0.790808147,"CROZ",2005,"CROZ",-77.453123,169.232214
"230",41867,"0405",1,-0.137600683,-0.323561202,"CROZ",2004,"CROZ",-77.453039,169.234423
"231",41888,"0506",1,-0.029370446,-0.433291235,"CROZ",2005,"CROZ",-77.453068,169.233778
"232",41889,"0405",1,-0.094064334,-0.174029564,"CROZ",2004,"CROZ",-77.453007,169.231794
"233",41912,"0405",1,0.105935666,0.825970436,"CROZ",2004,"CROZ",-77.453023,169.236193
"234",41913,"0708",1,0.078364508,0.269370953,"CROZ",2007,"CROZ",-77.45349,169.227954
"235",41929,"1011",1,-0.234496007,0.265906533,"CROZ",2010,"CROZ",-77.45301,169.235053
"236",41930,"0405",1,-0.137600683,-0.323561202,"CROZ",2004,"CROZ",-77.453072,169.234117
"237",41931,"1314",1,0.104396911,0.317735102,"CROZ",2013,"CROZ",-77.452914,169.234975
"238",41933,"0405",1,0.062399317,0.676438798,"CROZ",2004,"CROZ",-77.453211,169.231419
"239",41935,"0607",1,-0.065125304,0.389656004,"CROZ",2006,"CROZ",-77.453077,169.233323
"240",41936,"1011",1,-0.045019858,0.265906533,"CROZ",2010,"CROZ",-77.454834,169.226846
"241",41979,"0405",1,0.076029338,-0.323561202,"CROZ",2004,"CROZ",-77.452959,169.238296
"242",41999,"0405",1,-0.137600683,-0.323561202,"CROZ",2004,"CROZ",-77.452889,169.23629
"243",42013,"1011",1,0.215120619,0.295581958,"CROZ",2010,"CROZ",-77.45272,169.232773
"244",42024,"0506",1,0.02218776,-0.378489231,"CROZ",2005,"CROZ",-77.453072,169.233806
"245",42028,"0607",1,0.155524658,0.383293873,"CROZ",2006,"CROZ",-77.453096,169.231125
"246",42083,"0506",1,0.044267893,0.676438798,"CROZ",2005,"CROZ",-77.452929,169.231541
"247",42093,"0506",1,0.02218776,0.621510769,"CROZ",2005,"CROZ",-77.453314,169.230425
"248",42116,"0203",1,-0.09103377,-0.09103377,"CROZ",2002,"CROZ",-77.45278,169.2347
"249",42118,"1314",1,-0.234256805,0.335207654,"CROZ",2013,"CROZ",-77.452915,169.23498
"250",42174,"1011",1,-0.003558023,-0.704418042,"CROZ",2010,"CROZ",-77.453142,169.234242
"251",42182,"0607",1,-0.00934582,0.441740191,"CROZ",2006,"CROZ",-77.453292,169.237127
"252",42188,"1011",1,0.093408502,0.295581958,"CROZ",2010,"CROZ",-77.452905,169.235135
"253",42193,"0607",1,-0.00934582,-0.558259809,"CROZ",2006,"CROZ",-77.452814,169.234756
"254",42197,"1314",1,-0.004399676,0.335207654,"CROZ",2013,"CROZ",-77.457622,169.25688
"255",42202,"0405",1,0.239296873,0.857677069,"CROZ",2004,"CROZ",-77.453104,169.237293
"256",42232,"1213",1,0.047526672,-0.683533805,"CROZ",2012,"CROZ",-77.452669,169.233905
"257",42249,"0809",1,-0.206977267,-0.62786248,"CROZ",2008,"CROZ",-77.452809,169.234879
"258",42288,"1112",1,0.045051666,0.344362128,"CROZ",2011,"CROZ",-77.453067,169.23359
"259",42294,"0708",1,-0.027891093,0.310529675,"CROZ",2007,"CROZ",-77.452975,169.234868
"260",42317,"1314",1,0.015743195,0.335207654,"CROZ",2013,"CROZ",-77.452435,169.231608
"261",42325,"0809",1,-0.058628964,0.37213752,"CROZ",2008,"CROZ",-77.452878,169.233087
"262",42335,"0506",1,0.27053065,0.676438798,"CROZ",2005,"CROZ",-77.452683,169.231709
"263",42337,"0203",1,-0.066354969,-0.09103377,"CROZ",2002,"CROZ",-77.45289,169.23114
"264",42341,"0708",1,-0.212997436,-0.635562674,"CROZ",2007,"CROZ",-77.4529,169.232363
"265",42345,"0203",1,-0.09103377,-0.09103377,"CROZ",2002,"CROZ",-77.45258,169.23505
"266",42359,"1011",1,0.285897759,0.295581958,"CROZ",2010,"CROZ",-77.453008,169.23824
"267",42360,"1011",1,0.020965251,0.295581958,"CROZ",2010,"CROZ",-77.452648,169.23145
"268",42370,"1011",1,-0.089679737,0.295581958,"CROZ",2010,"CROZ",-77.453617,169.235238
"269",42379,"0910",1,-0.030632172,0.437009919,"CROZ",2009,"CROZ",-77.453084,169.236046
"270",42383,"0405",1,-0.077583926,-0.142322931,"CROZ",2004,"CROZ",-77.45607,169.248231
"271",42384,"0405",1,0.169053613,0.857677069,"CROZ",2004,"CROZ",-77.452567,169.231194
"272",42404,"0607",1,-0.002879751,0.441740191,"CROZ",2006,"CROZ",-77.453125,169.234021
