"subcol","active_ct","ch_ct","col","prod","area_name","season","FID","area","perimeter","pa_ratio","flood_risk","mean_aspect","mean_slope","mean_elev","adjust_mean_elev","mean_wind","mean_solar","skua50"
"14a-b",28,1,"royds",0.0357142857142857,NA,"1617",6,19.7672005,34.4425011,1.74240660667,NA,231.323878752856,2.69404894114,-42.3654785156,4.6345214844,76.25,210085.144531,1
"14a-b",17,7,"royds",0.411764705882353,NA,"1718",6,19.7672005,34.4425011,1.74240660667,NA,231.323878752856,2.69404894114,-42.3654785156,4.6345214844,76.25,210085.144531,1
"19",47,42,"royds",0.893617021276596,NA,"1415",16,27.9501991,32.9219017,1.17787718773,NA,23.7503789232371,6.74965531485,-41.3226841518,5.6773158482,40.5714285714,192590.205357,1
"19",45,44,"royds",0.977777777777778,NA,"1516",16,27.9501991,32.9219017,1.17787718773,NA,23.7503789232371,6.74965531485,-41.3226841518,5.6773158482,40.5714285714,192590.205357,1
"19",55,28,"royds",0.509090909090909,NA,"1617",16,27.9501991,32.9219017,1.17787718773,NA,23.7503789232371,6.74965531485,-41.3226841518,5.6773158482,40.5714285714,192590.205357,1
"19",65,51,"royds",0.784615384615385,NA,"1718",16,27.9501991,32.9219017,1.17787718773,NA,23.7503789232371,6.74965531485,-41.3226841518,5.6773158482,40.5714285714,192590.205357,1
"1a",76,87,"royds",1.14473684210526,NA,"1415",0,68.1988983,47.5096016,0.6966329813,11.0745403671,247.608106841019,16.838924249,-40.8846571181,6.1153428819,126.833333333,215322.356771,0
"1a",82,64,"royds",0.780487804878049,NA,"1516",0,68.1988983,47.5096016,0.6966329813,11.0745403671,247.608106841019,16.838924249,-40.8846571181,6.1153428819,126.833333333,215322.356771,0
"1a",66,33,"royds",0.5,NA,"1617",0,68.1988983,47.5096016,0.6966329813,11.0745403671,247.608106841019,16.838924249,-40.8846571181,6.1153428819,126.833333333,215322.356771,0
"1a",68,68,"royds",1,NA,"1718",0,68.1988983,47.5096016,0.6966329813,11.0745403671,247.608106841019,16.838924249,-40.8846571181,6.1153428819,126.833333333,215322.356771,0
"1b",7,1,"royds",0.142857142857143,NA,"1415",2,2.56301,10.2701998,4.00708532333,NA,215.027954102,49.126083374,-44.546875,2.453125,209,232304.71875,0
"1b",6,0,"royds",0,NA,"1516",2,2.56301,10.2701998,4.00708532333,NA,215.027954102,49.126083374,-44.546875,2.453125,209,232304.71875,0
"1b",3,0,"royds",0,NA,"1617",2,2.56301,10.2701998,4.00708532333,NA,215.027954102,49.126083374,-44.546875,2.453125,209,232304.71875,0
"1b",3,0,"royds",0,NA,"1718",2,2.56301,10.2701998,4.00708532333,NA,215.027954102,49.126083374,-44.546875,2.453125,209,232304.71875,0
"1c",37,29,"royds",0.783783783783784,NA,"1415",1,19.8976994,33.6637001,1.69183886051,38.3874697398,206.491743915299,7.09435208639,-38.828125,8.171875,91,217009.166667,0
