"subcol","active_ct","ch_ct","col","season","prod"
"4-17",32,23,"royds","0708",0.71875
"4-17",20,1,"royds","0809",0.05
"4-17",9,4,"royds","0910",0.444444444444444
"5",1,1,"royds","0506",1
"5",86,84,"royds","0607",0.976744186046512
"5",65.5,55,"royds","1011",0.83969465648855
"5",45,42,"royds","1112",0.933333333333333
"5",43,46,"royds","1213",1.06976744186047
"5",52,46,"royds","1415",0.884615384615385
"5",61,41,"royds","1516",0.672131147540984
"5",53,3,"royds","1617",0.0566037735849057
"5",37,21,"royds","1718",0.567567567567568
"5-18",57,84,"royds","0304",1.47368421052632
"5-18",109,77,"royds","0708",0.706422018348624
"5-18",67,25,"royds","0809",0.373134328358209
"5-18",43,33,"royds","0910",0.767441860465116
"6",21,26,"royds","0506",1.23809523809524
"6",172,176,"royds","0607",1.02325581395349
"6",159,198,"royds","1011",1.24528301886792
"6",129,131,"royds","1112",1.01550387596899
"6",140,133,"royds","1213",0.95
"6",156,205,"royds","1415",1.31410256410256
"6",171,184,"royds","1516",1.07602339181287
"6",144,81,"royds","1617",0.5625
"6",172,162,"royds","1718",0.941860465116279
"6-8a",116,117,"royds","0304",1.00862068965517
"6-8a",206,199,"royds","0708",0.966019417475728
"6-8a",157,149,"royds","0809",0.949044585987261
"6-8a",158,17,"royds","0910",0.107594936708861
"7",43,34,"royds","0304",0.790697674418605
"7-8b",19,20,"royds","0708",1.05263157894737
"7-8b",13,2,"royds","0809",0.153846153846154
"7-8b",17,3,"royds","0910",0.176470588235294
"8",1,1,"royds","0506",1
"8",17,14,"royds","0607",0.823529411764706
"8",4,0,"royds","1011",0
"8",3,1,"royds","1415",0.333333333333333
"9",11,12,"royds","0506",1.09090909090909
"9",64,49,"royds","0607",0.765625
"9",106,76,"royds","0910",0.716981132075472
"9-10",545,552,"royds","0708",1.01284403669725
"9-10",462,439,"royds","0809",0.95021645021645
"9n",64,77,"royds","1011",1.203125
"9n",63,65,"royds","1112",1.03174603174603
"9n",60,60,"royds","1213",1
"9n",73,78,"royds","1415",1.06849315068493
"9n",60,80,"royds","1516",1.33333333333333
"9n",75,32,"royds","1617",0.426666666666667
"9n",88,91,"royds","1718",1.03409090909091
"9s",52.5,61,"royds","1011",1.16190476190476
"9s",61,40,"royds","1112",0.655737704918033
"9s",58,56,"royds","1213",0.96551724137931
"9s",53,69,"royds","1415",1.30188679245283
"9s",93,57,"royds","1516",0.612903225806452
"9s",53,33,"royds","1617",0.622641509433962
"9s",57,60,"royds","1718",1.05263157894737
"wb2",36,43,"royds","1213",1.19444444444444
"wb2",40,49,"royds","1415",1.225
"wb2",44,52,"royds","1516",1.18181818181818
"wb2",37,12,"royds","1617",0.324324324324324
"wb2",50,42,"royds","1718",0.84
