FID,subcol,notes,perim,area,pa_ratio,SUM_AREA,MEAN,MEAN_1,MEAN_12,MEAN_12_13,NEAR_RANK,NEAR_RANK_1,MEAN_12_13_14
20,m21, ,66.8520966,122.0139999,0.547906,,273351.637277,29.71428571,242.8054341,8.627275263,,,-21.10989816
21,m16-22, ,49.5682983,100.4550018,0.493436,,272160.440972,35,228.6098113,7.064044175,,,-23.24121094
22,m12, ,120.935997,181.8679962,0.664969,13.10531557,271963.578506,40.48780488,213.7242104,5.885532147,,,-23.79292111
23,c51, ,77.3182983,68.1303024,1.13486,41.3908385,274597.607639,26.83333333,242.8871248,9.315875689,,1,41.74956597
24,c38, ,47.6930008,54.0620995,0.882189,1131.030759,258476.968750,3.692307692,233.2156396,14.24193676,1,1,22.8660607
25,c24, ,70.1667023,117.4950027,0.597188,692.2620921,256561.802455,4.392857143,228.8318067,14.0426646,,1,18.26388114
26,c37, ,41.2778015,52.0318985,0.793317,0.187785998,252658.337740,2.846153846,222.1746556,14.2519865,,1,17.39513221
27,p55, ,40.3227005,32.9704018,1.223,71.69439697,252047.294922,4.25,219.1420116,14.04594088,1,1,19.99365234
28,m33-34-35, ,309.526001,965.8859863,0.320458,1525.843858,256956.631960,9.694323144,224.0080236,12.75944783,,,-4.703542918
29,m6a, ,46.0093002,67.1912003,0.684751,,273647.375000,26.76470588,248.7493205,9.669005955,,,-21.03975184
30,m5, ,106.5500031,153.6419983,0.693494,,280822.829770,45.02631579,249.0215253,5.338742727,,,-21.32144326
31,m4, ,49.6002998,78.4977036,0.63187,,293792.239583,62.04761905,294.07025,6.48440092,,,-23.24232701
32,m1a, ,61.3404007,49.1786003,1.2473,,249586.764423,17.46153846,198.3238737,12.19332776,,,-30.18813896
33,m14, ,21.9650002,24.8206005,0.884948,,265500.651042,28.33333333,218.0912552,8.58414046,,,-26.06591797
34,m14a, ,66.4116974,97.0130005,0.684565,,261329.771250,27.08,207.9478125,9.20641964,,,-26.92558594
35,m38, ,87.4979019,205.0249939,0.426768,,272871.912364,25.15217391,250.1611457,10.26154632,,,-34.98783634
36,m36, ,42.0918999,50.513401,0.833282,,253730.686298,9.923076923,220.0667889,12.78360895,,,-37.5317421
37,mis, ,67.7711029,143.1690063,0.473366,9740.074059,274437.356158,42.82352941,217.4235953,7.124517038,,,-34.44384766
38,p63, ,62.3361015,106.8349991,0.583482,240.9589996,245650.059267,0.172413793,222.6104747,16.88951163,1,1,35.59061827
39,p42, ,104.9380035,150.1519928,0.698879,10592.96391,242454.423177,1.5,204.9769321,15.43150221,,,28.24701606
40,p44-1,p44 split in two,47.0688019,54.8367996,0.858344,,245414.316106,1.538461538,210.6099666,14.96238224,,,14.01194411
