Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,m6a,30,17,68.000000000000000,19,33,14,26.764705882352942,4.109235105075989,455.000000000000000,12,28,19,28
,m5,31,38,152.000000000000000,38,52,14,45.026315789473685,4.094198990518296,1711.000000000000000,12,43,38,43
,m4,32,21,84.000000000000000,55,94,39,62.047619047619051,10.638994718335942,1303.000000000000000,10,57,60,58
,m1a,33,13,52.000000000000000,10,30,20,17.461538461538460,5.917579866743664,227.000000000000000,10,13,10,15
,m14,34,6,24.000000000000000,27,29,2,28.333333333333332,0.745355992499998,170.000000000000000,3,29,27,28
,m14a,35,25,100.000000000000000,24,30,6,27.079999999999998,1.809309260463784,677.000000000000000,7,28,24,27
,m38,36,46,184.000000000000000,14,37,23,25.152173913043477,5.532384466285558,1157.000000000000000,20,26,18,26
,m36,37,13,52.000000000000000,3,17,14,9.923076923076923,4.214654625170069,129.000000000000000,10,7,3,9
,mis,38,34,136.000000000000000,29,101,72,42.823529411764703,18.779636324605150,1456.000000000000000,20,32,29,35
,p63,39,29,116.000000000000000,0,3,3,0.172413793103448,0.646953897906680,5.000000000000000,3,0,2,0
,p42,40,36,144.000000000000000,0,4,4,1.500000000000000,1.190238071423808,54.000000000000000,5,1,4,1
,p44,41,53,212.000000000000000,0,5,5,2.773584905660377,1.223072367595611,147.000000000000000,6,2,0,3
,p22,42,9,36.000000000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,0,0
,p24,43,38,152.000000000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,0,0
,p33,44,18,72.000000000000000,0,4,4,2.055555555555555,1.470911366097081,37.000000000000000,5,0,1,2
,p39,45,12,48.000000000000000,0,1,1,0.083333333333333,0.276385399196283,1.000000000000000,2,0,1,0
,p21,46,24,96.000000000000000,0,5,5,2.083333333333334,1.753963764987432,50.000000000000000,6,0,3,2
,qr132,47,15,60.000000000000000,16,20,4,17.199999999999999,1.222020185321572,258.000000000000000,5,16,19,17
,qr20,48,40,160.000000000000000,7,10,3,8.775000000000000,0.935080210463251,351.000000000000000,4,8,7,9
,s39,49,10,40.000000000000000,32,58,26,41.799999999999997,8.280096617793793,418.000000000000000,10,32,32,39
,s5,50,10,40.000000000000000,27,29,2,28.500000000000000,0.670820393249937,285.000000000000000,3,29,27,29
,qr65,51,30,120.000000000000000,0,123,123,66.500000000000000,40.787865842674343,1995.000000000000000,22,0,25,60
,d22,52,10,40.000000000000000,19,23,4,21.600000000000001,1.019803902718539,216.000000000000000,4,22,19,22
,d16,53,10,40.000000000000000,23,34,11,27.800000000000001,3.515679166249381,278.000000000000000,9,24,23,27
,d9-11,54,3,12.000000000000000,51,56,5,53.333333333333336,2.054804667656276,160.000000000000000,3,51,51,53
,d35,55,9,36.000000000000000,0,17,17,11.555555555555555,5.794846582402354,104.000000000000000,6,15,0,14
,d12,56,13,52.000000000000000,0,4,4,0.846153846153846,1.291758124903590,11.000000000000000,5,0,2,0
,d47,57,16,64.000000000000000,6,8,2,6.562500000000000,0.704339229349040,105.000000000000000,3,6,8,6
