"","Bandnumb","BQI_A","season","lat","lon"
"128",46777,0.239349422368571,"1718",-77.452307,169.229707
"129",46792,0.00593040726630353,"1415",-77.453374,169.237017
"130",46813,-0.331922825764119,"1617",-77.452524,169.235055
"131",46815,0.068948666258604,"1314",-77.459016,169.228851
"132",46821,-0.276718538882554,"1617",-77.453166,169.234997
"133",46856,-0.202927489247572,"1617",-77.453771,169.236609
"134",46872,-0.0961080420801289,"1516",-77.453628,169.235497
"135",46891,0.219858371173943,"1213",-77.455271,169.240649
"136",46907,-0.0759249864454458,"1718",-77.452925,169.235971
"137",46943,0.467809380961634,"1213",-77.45086,169.22401
"138",46984,-0.0593671408625802,"1516",-77.455532,169.239728
"139",47010,0.105930407266304,"1415",-77.452078,169.230258
"140",47020,0.0194056362846089,"1213",-77.451901,169.232523
"141",47029,0.0960581210119993,"1314",-77.452122,169.230454
"142",47050,0.144405636284609,"1213",-77.452214,169.232798
"143",47062,0.168077174235881,"1617",-77.454559,169.23807
"144",47091,-0.151058555455677,"1314",-77.453016,169.234041
"145",47092,-0.0154309308218818,"1617",-77.452404,169.234344
"146",47226,-0.015554506799818,"1718",-77.453342,169.229258
"147",47367,-0.0921675884816991,"1718",-77.4526,169.231892
"148",47481,0.236130634829941,"1213",-77.453016,169.234862
"149",47515,0.177130383426309,"1718",-77.453213,169.234569
"150",47594,0.306540223759476,"1617",-77.453091,169.23444
"151",47606,0.396353985552207,"1314",-77.453713,169.229233
"152",47679,0.147972734007582,"1617",-77.454788,169.236757
"153",47741,0.236130634829941,"1213",-77.453637,169.229312
"154",47764,0.195183550474187,"1718",-77.453723,169.229094
"155",47842,0.125726569913742,"1415",-77.458116,169.247146
"156",47867,0.0104637167596423,"1718",-77.452197,169.228194
"157",47953,0.188376846152865,"1617",-77.452352,169.227214
"158",47968,0.24946466143824,"1314",-77.452475,169.231064
"159",48099,0.27466150909184,"1415",-77.452225,169.232977
"160",48203,0.167668845380649,"1213",-77.456567,169.244836
"161",48221,-0.251972477233792,"1718",-77.45414,169.240322
"162",48240,0.236130634829941,"1213",-77.453101,169.233503
"163",48250,0.236130634829941,"1213",-77.452214,169.232798
"164",48255,0.0583732964463239,"1415",-77.452519,169.231307
"165",48263,0.221452520655085,"1314",-77.452813,169.231037
"166",48326,-0.0145080088600251,"1718",-77.453229,169.231138
"167",48379,-0.167300026550394,"1415",-77.453354,169.234993
"168",48391,0.000727448612559479,"1718",-77.451823,169.230246
"169",48431,0.100727448612559,"1718",-77.453068,169.229963
"170",48443,0.225656029982915,"1213",-77.454556,169.235937
"171",48504,0.141092609377295,"1718",-77.45192,169.23005
"172",48537,-0.11319107690423,"1314",-77.453687,169.236398
"173",48613,0.256684897534341,"1415",-77.453271,169.229194
"174",48643,0.0615878704505274,"1718",-77.451729,169.227466
"175",48667,0.40576200763345,"1213",-77.450873,169.224017
"176",48698,0.225656029982915,"1213",-77.453133,169.232001
"177",48748,0.0276458041124248,"1314",-77.45233,169.229814
"178",48782,0.410494191565022,"1314",-77.452249,169.232738
"179",48783,0.326274773097534,"1516",-77.451811,169.230412
"180",48803,-0.0856692931269225,"1718",-77.453998,169.225401
"181",48838,0.355683617984043,"1314",-77.452091,169.231697
"182",48840,-0.118956844854754,"1718",-77.451624,169.231491
"183",48877,-0.0731608830363873,"1617",-77.451947,169.23045
"184",48878,-0.0731608830363873,"1617",-77.452299,169.22959
"185",48978,0.0888309617608958,"1718",-77.452402,169.227626
"186",49012,0.129091861116235,"1718",-77.45302,169.232338
"187",49021,0.196994793895948,"1516",-77.451173,169.22894
"188",49184,0.0487228204904049,"1415",-77.453343,169.228435
"189",49188,0.463087194745429,"1415",-77.459598,169.230072
"190",49234,-0.0731608830363873,"1617",-77.453073,169.230375
"191",49268,-0.245726017512855,"1516",-77.452161,169.227253
"192",49279,-0.0267487569342476,"1516",-77.45302,169.236079
"193",49330,-0.0179125116772226,"1718",-77.456224,169.225865
"194",49336,0.141959908389074,"1415",-77.453673,169.229231
"195",49389,0.139225044655986,"1617",-77.45269,169.229689
"196",49415,0.129816189810296,"1617",-77.452841,169.234761
"197",49420,-0.082997177566236,"1617",-77.453001,169.231814
"198",49438,-0.0193393144241586,"1213",-77.451755,169.228533
"199",49455,-0.0578886861780579,"1718",-77.454645,169.236741
"200",49468,0.423450372838947,"1415",-77.45911,169.23271
"201",49528,0.142111313821942,"1718",-77.453172,169.232052
"202",49575,0.189504383041708,"1516",-77.452955,169.231415
"203",49631,0.284302618663121,"1516",-77.455547,169.241048
"204",49670,-0.175731374514798,"1617",-77.453117,169.23297
"205",49768,-0.300115532621095,"1617",-77.453389,169.239106
"206",49779,-0.0369466260404823,"1718",-77.452605,169.235477
"207",49842,-0.20578461281757,"1718",-77.452622,169.23198
"208",49869,0.117617667364197,"1718",-77.453095,169.234348
"209",49877,0.284801127619632,"1415",-77.452948,169.232762
"210",49972,-0.075274472579732,"1415",-77.452892,169.236594
"211",49990,0.0236156466724971,"1718",-77.451764,169.228803
"212",50028,0.0930234327468951,"1516",-77.453976,169.239184
"213",50030,0.117617667364197,"1718",-77.452807,169.230686
"214",50171,0.00650655625308544,"1718",-77.452956,169.233571
"215",50198,0.212816182359246,"1516",-77.453372,169.235121
"216",50210,0.401087497255323,"1314",-77.452903,169.233269
"217",50223,-0.0374403108592186,"1617",-77.453037,169.23465
"218",50229,-0.087308416130274,"1718",-77.452715,169.23123
"219",50292,-0.0351860741590271,"1718",-77.454502,169.230776
"220",50395,0.117617667364197,"1718",-77.452615,169.229558
"221",50406,0.088891726770736,"1617",-77.453202,169.219071
"222",50416,0.228728778475308,"1718",-77.453074,169.229616
"223",50538,0.0875596891407814,"1617",-77.453497,169.22006
"224",50625,0.0236156466724971,"1718",-77.453017,169.23086
"225",50696,0.243317197870829,"1617",-77.451943,169.230308
"226",50761,0.339839889586419,"1718",-77.452758,169.230224
"227",50774,-0.0155637917291968,"1617",-77.452732,169.232911
"228",50914,0.250639021512392,"1718",-77.452361,169.235375
"229",50945,0.0714736297300544,"1718",-77.452183,169.23338
"230",50976,0.191303673155198,"1718",-77.453011,169.236318
"231",50992,0.426630304469232,"1617",-77.45277,169.234229
"232",50995,0.207983411738264,"1718",-77.452916,169.235643
"233",50998,-0.133408603187418,"1718",-77.452875,169.236481
