Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,f23,64,10,40.000000000000000,262915.812500000000000,266465.031250000000000,3549.218750000000000,264389.237499999990000,1134.375055801264100,2643892.375000000000000
,g32,65,10,40.000000000000000,271299.718750000000000,272816.031250000000000,1516.312500000000000,272272.409374999990000,429.815473542294340,2722724.093750000000000
,f5,66,41,164.000000000000000,218627.031250000000000,237429.734375000000000,18802.703125000000000,228862.530868902450000,5290.069569833199200,9383363.765625000000000
,fbeach,67,136,544.000000000000000,65678.789062500000000,296650.937500000000000,230972.148437500000000,256628.526022518370000,24456.593376630728000,34901479.539062500000000
,g2,68,23,92.000000000000000,237462.750000000000000,247512.531250000000000,10049.781250000000000,244483.265625000000000,2495.995945143622100,5623115.109375000000000
,d70,69,5,20.000000000000000,252710.375000000000000,253477.000000000000000,766.625000000000000,253113.281250000000000,245.784724824451300,1265566.406250000000000
,b33,70,9,36.000000000000000,266801.250000000000000,272128.531250000000000,5327.281250000000000,268759.336805555560000,1683.887621055826900,2418834.031250000000000
,s2-4,71,130,520.000000000000000,271941.562500000000000,294826.093750000000000,22884.531250000000000,286161.905048076940000,5684.670289153031300,37201047.656250000000000
,p6,72,223,892.000000000000000,254656.375000000000000,271724.468750000000000,17068.093750000000000,262656.440723094160000,4556.077362178093600,58572386.281250000000000
,l17,73,45,180.000000000000000,241841.515625000000000,255382.625000000000000,13541.109375000000000,248459.551736111110000,3660.046977037466100,11180679.828125000000000
,l23_1,74,1,4.000000000000000,237305.453125000000000,237305.453125000000000,0.000000000000000,237305.453125000000000,0.000000000000000,237305.453125000000000
,t5,75,32,128.000000000000000,267748.468750000000000,276642.500000000000000,8894.031250000000000,270303.417968750000000,2744.864051326233000,8649709.375000000000000
,m7,76,56,224.000000000000000,262635.125000000000000,276366.781250000000000,13731.656250000000000,269712.754464285740000,4218.536409111287900,15103914.250000000000000
,m6,77,11,44.000000000000000,270892.250000000000000,276029.687500000000000,5137.437500000000000,273708.667613636350000,1506.029811230179100,3010795.343750000000000
,m31,78,106,424.000000000000000,228049.765625000000000,296470.906250000000000,68421.140625000000000,263141.213148584880000,10338.992493909538000,27892968.593750000000000
,m30,79,38,152.000000000000000,254300.484375000000000,261423.781250000000000,7123.296875000000000,257343.259457236850000,1977.693287760470000,9779043.859375000000000
,m32,80,59,236.000000000000000,253972.968750000000000,260263.593750000000000,6290.625000000000000,256840.917902542370000,1573.382369290874300,15153614.156250000000000
,m37,81,13,52.000000000000000,234212.625000000000000,258860.718750000000000,24648.093750000000000,244026.885817307690000,7172.419901830785400,3172349.515625000000000
,g54,82,6,24.000000000000000,267899.250000000000000,270905.062500000000000,3005.812500000000000,269604.239583333310000,1200.025431952660900,1617625.437500000000000
,t16,83,48,192.000000000000000,281633.156250000000000,290162.406250000000000,8529.250000000000000,286191.734375000000000,2063.428004915540000,13737203.250000000000000
,l13,84,119,476.000000000000000,240079.015625000000000,261431.265625000000000,21352.250000000000000,254004.049894957980000,4822.342622757749300,30226481.937500000000000
