"","col","season","subcol","active_ct","ch_ct","prod","area_name"
"93","croz","1314","m19",212.5,163.333333333333,0.768627450980391,"m"
"94","croz","1415","m19",177.5,210.5,1.18591549295775,"m"
"95","croz","1516","m19",183.333333333333,146,0.796363636363638,"m"
"96","croz","1617","m19",193.666666666667,229,1.18244406196213,"m"
"97","croz","1718","m19",194.666666666667,288.5,1.48202054794521,"m"
"98","croz","0405","m1a",38,18,0.473684210526316,"m"
"99","croz","0506","m1a",43,33,0.767441860465116,"m"
"100","croz","0607","m1a",42,52,1.23809523809524,"m"
"101","croz","0708","m1a",49,53.3333333333333,1.08843537414966,"m"
"102","croz","0809","m1a",53,52,0.981132075471698,"m"
"103","croz","0910","m1a",61.6666666666667,50,0.81081081081081,"m"
"104","croz","1112","m1a",75,73,0.973333333333333,"m"
"105","croz","1213","m1a",78,105.5,1.3525641025641,"m"
"106","croz","1314","m1a",82,50.3333333333333,0.613821138211382,"m"
"107","croz","1415","m1a",97,107,1.10309278350515,"m"
"108","croz","1516","m1a",103,107.5,1.04368932038835,"m"
"109","croz","1617","m1a",91.3333333333333,75.5,0.826642335766423,"m"
"110","croz","1718","m1a",104,114.5,1.10096153846154,"m"
"111","croz","0304","m20",170,64,0.376470588235294,"m"
"112","croz","0405","m20",354,256,0.72316384180791,"m"
"113","croz","0506","m20",367,354,0.964577656675749,"m"
"114","croz","0607","m20",332,437.5,1.31777108433735,"m"
"115","croz","0708","m20",324.333333333333,385,1.18705035971223,"m"
"116","croz","0809","m20",386,384,0.994818652849741,"m"
"117","croz","0910","m20",367.666666666667,372,1.01178603807797,"m"
"118","croz","1011","m20",475,426,0.896842105263158,"m"
"119","croz","1112","m20",385.5,423,1.09727626459144,"m"
"120","croz","1213","m20",397.333333333333,337.5,0.849412751677853,"m"
"121","croz","1314","m20",472,395.666666666667,0.838276836158193,"m"
"122","croz","1415","m20",463.5,459.5,0.991370010787487,"m"
"123","croz","1516","m20",458,391.5,0.854803493449782,"m"
"124","croz","1617","m20",456,487,1.06798245614035,"m"
"125","croz","1718","m20",501,586.5,1.17065868263473,"m"
"126","croz","0304","m21",63,26,0.412698412698413,"m"
"127","croz","0405","m21",151,100,0.662251655629139,"m"
"128","croz","0506","m21",150,160,1.06666666666667,"m"
"129","croz","0607","m21",130,168.75,1.29807692307692,"m"
"130","croz","0708","m21",129.25,160.5,1.24177949709865,"m"
"131","croz","0809","m21",172,153,0.88953488372093,"m"
"132","croz","0910","m21",162.333333333333,149,0.917864476386039,"m"
"133","croz","1011","m21",205,211,1.02926829268293,"m"
"134","croz","1112","m21",186.25,196.666666666667,1.05592841163311,"m"
"135","croz","1213","m21",173,148.5,0.858381502890173,"m"
"136","croz","1314","m21",218.5,189.333333333333,0.866514111365368,"m"
"137","croz","1415","m21",204.25,208.5,1.02080783353733,"m"
"138","croz","1516","m21",179.333333333333,158,0.88104089219331,"m"
"139","croz","1617","m21-24",218.666666666667,230,1.05182926829268,"m"
"140","croz","1718","m21-24",254.5,290.5,1.14145383104126,"m"
"141","croz","1112","m22a",5,6,1.2,"m"
"142","croz","1213","m22a",5,3,0.6,"m"
"143","croz","1415","m22a",12,10,0.833333333333333,"m"
"144","croz","1516","m22a",10,13,1.3,"m"
"145","croz","1617","m22a",12,15,1.25,"m"
"146","croz","1718","m22a",14,22,1.57142857142857,"m"
"147","croz","0405","m23",238,198,0.831932773109244,"m"
"148","croz","0506","m23",233,233,1,"m"
"149","croz","0607","m23",222,261,1.17567567567568,"m"
"150","croz","0708","m23",208.25,253,1.21488595438175,"m"
"151","croz","0809","m23",273,265,0.970695970695971,"m"
"152","croz","0910","m23",263.333333333333,266,1.01012658227848,"m"
"153","croz","1112","m23",280.333333333333,278,0.991676575505352,"m"
"154","croz","1213","m23",242.333333333333,213.5,0.881017881705641,"m"
"155","croz","1314","m23",312,245,0.78525641025641,"m"
